model,metric,log10_epsilon,Trotter_fit,MPF_fit,QSVT_fit
TFIM,t_count,-1.7999999999999998,26297206.084306322,5212043099.055634,154755118.48419827
TFIM,t_count,-1.775,25826046.916503858,5134440208.646783,154753467.1971019
TFIM,t_count,-1.75,25362264.863380663,5057621508.891001,154751839.71596935
TFIM,t_count,-1.7249999999999996,24905741.961163446,4981582863.632039,154750237.72484928
TFIM,t_count,-1.6999999999999997,24456361.93659707,4906320138.352473,154748663.04699293
TFIM,t_count,-1.6749999999999998,24014010.17660429,4831829200.181185,154747117.65910077
TFIM,t_count,-1.65,23578573.698127553,4758105917.900741,154745603.70733786
TFIM,t_count,-1.625,23149941.118131164,4685146161.955068,154744123.52538115
TFIM,t_count,-1.5999999999999996,22728002.623741407,4612945804.457053,154742679.65479523
TFIM,t_count,-1.5749999999999997,22312649.942500696,4541500719.196235,154741274.8681138
TFIM,t_count,-1.5499999999999998,21903776.31270964,4470806781.646586,154739912.19503003
TFIM,t_count,-1.525,21501276.45383083,4400859868.974437,154738594.95221037
TFIM,t_count,-1.5,21105046.536923762,4331655860.046353,154737326.7773255
TFIM,t_count,-1.4749999999999996,20714984.15508172,4263190635.4371886,154736111.66800463
TFIM,t_count,-1.4499999999999997,20330988.293836135,4195460077.4381537,154734954.02656502
TFIM,t_count,-1.4249999999999998,19952959.301492598,4128460070.065032,154733858.7115423
TFIM,t_count,-1.4,19580798.85936084,4062186499.066429,154732831.09725106
TFIM,t_count,-1.375,19214409.951836668,3996635251.9320736,154731877.142871
TFIM,t_count,-1.3499999999999996,18853696.83629015,3931802217.9013357,154731003.4728848
TFIM,t_count,-1.3249999999999997,18498565.012712844,3867683287.971616,154730217.47110426
TFIM,t_count,-1.2999999999999998,18148921.193069637,3804274354.907054,154729527.39101836
TFIM,t_count,-1.275,17804673.270297974,3741571313.247171,154728942.48588586
TFIM,t_count,-1.25,17465730.286891468,3679570059.315677,154728473.16279256
TFIM,t_count,-1.2249999999999996,17132002.402999222,3618266491.2292404,154728131.16599405
TFIM,t_count,-1.1999999999999997,16803400.86396495,3557656508.906629,154727929.79622918
TFIM,t_count,-1.1749999999999998,16479837.967222802,3497736014.0775766,154727884.1745205
TFIM,t_count,-1.15,16161227.028459087,3438500910.292093,154728011.56132847
TFIM,t_count,-1.125,15847482.346939158,3379947102.9295626,154728331.74510258
TFIM,t_count,-1.0999999999999996,15538519.169887675,3322070499.2082367,154728867.51846552
TFIM,t_count,-1.0749999999999997,15234253.655799558,3264867008.194578,154729645.26597187
TFIM,t_count,-1.0499999999999998,14934602.83654445,3208332540.812877,154730695.6951634
TFIM,t_count,-1.025,14639484.57811343,3152463009.854831,154732054.753361
TFIM,t_count,-1.0,14348817.539837027,3097254329.98938,154733764.78765178
Heisenberg,cnot_count,-5.0,6979039.147371999,3102406442.401788,37043138.21626799
